lpbi_brasil;lpbi_china;lpbi_india;lpbi_peru;lpbi_rusia;lpbi_sudafric;limp_bra;limp_rus;limp_ind;limp_chi;limp_sud;lexp_bra;lexp_rus;lexp_ind;lexp_chi;lexp_sud
13,24498677;14,57009944;13,14939608;10,70635535;12,97863157;11,61496026;19,7879422;17,98329141;19,25886808;21,55661752;15,98806292;19,69943524;16,78610975;18,28666687;21,12476673;16,91271499
13,22202969;14,58784962;13,176507;10,71530848;12,9741893;11,60648138;19,97629384;18,0704455;19,44038889;21,40519205;16,63478824;19,21218702;16,89952827;18,42992478;21,25559517;16,69890819
13,20626859;14,6045691;13,19494745;10,72239167;12,97409026;11,61097552;20,11088662;18,60556991;19,23885283;21,50100318;16,13757228;19,43698585;16,66872232;18,7415596;21,3825637;16,99799468
13,19655299;14,62063194;13,2067435;10,7398897;12,97149049;11,61530153;20,07545837;18,12090562;19,10889339;21,51288738;16,43742966;19,19258005;17,09783542;19,67508227;21,53905361;16,66766641
13,18278996;14,63616842;13,23650084;10,75079963;12,97317543;11,6176863;19,94761617;18,1682353;19,09944243;21,40618906;16,27861898;19,39423687;16,93876697;19,00231816;21,24673931;16,5361447
13,18578765;14,65259313;13,25864902;10,75623724;12,97441473;11,61864851;20,08565373;18,03124791;19,05502342;21,36632386;15,78720842;19,70562955;16,94659353;18,98825866;21,29746442;16,99411644
13,18072285;14,66911023;13,28540663;10,76514151;12,97552;11,61852615;20,20812449;17,89622177;19,18444484;21,49632973;15,88355628;19,44926255;16,84979019;19,34332129;21,52516544;17,28072298
13,17975907;14,68643482;13,29206007;10,76633109;12,9824496;11,61937519;20,10985982;18,25166178;19,12444817;21,5016149;16,07699549;19,51475801;17,004202;19,59780815;21,75250652;17,38333862
13,18941418;14,70442516;13,29573568;10,77506393;12,98528307;11,62408573;20,04565794;17,81591121;19,01127545;21,42162907;16,31380848;19,25976304;16,89216882;19,58045975;21,74936383;17,28685596
13,1972751;14,7207092;13,31759968;10,78258242;12,99058633;11,6295238;20,22228082;18,25366163;19,1292392;21,47404609;16,05910875;19,95871297;16,85311743;20,28861817;21,7003206;17,25413546
13,20048541;14,73433129;13,33857528;10,79509638;12,99886854;11,63136162;20,37444225;17,80335193;19,21219979;21,57118149;16,14736285;19,97330483;16,78240223;19,85772312;21,80460747;17,09643942
13,20639069;14,7520446;13,35796437;10,78301409;12,99905656;11,63528645;20,26661092;18,61437234;19,20025126;21,59778372;16,49639603;19,87473098;16,99080877;20,1734676;21,89613236;17,17623989
13,21108115;14,77260767;13,37743512;10,8094758;13,01188624;11,6405629;20,12960867;18,28212381;19,18532107;21,59909322;16,30673763;19,75361547;17,17283283;20,27289868;21,81499237;17,25081214
13,21086168;14,78879089;13,39102026;10,83987616;13,01484075;11,63807331;20,17624347;18,21847528;19,27949526;21,59043947;16,12852546;20,00236362;17,62507349;20,30766618;22,02318006;16,48416577
13,21975122;14,79696074;13,40407632;10,82290479;13,02124917;11,65029673;20,21546374;18,92109579;19,26846224;21,67244154;16,20635289;19,86656296;17,47956823;20,20196716;21,99107859;16,4827303
13,21779264;14,81386522;13,41854235;10,81752455;13,02574608;11,65306734;20,34067446;18,46578802;19,19944841;21,71678089;16,12079249;19,8785948;16,9478122;20,1959828;21,83371642;16,66978867
13,22060036;14,83699591;13,42809257;10,83669243;13,03224128;11,64429577;20,12774563;18,34324363;19,19144351;21,68862357;15,97467336;19,68825368;17,33059517;20,02923059;21,89827667;16,20883049
13,22658446;14,84937417;13,44324746;10,8594266;13,0356364;11,64880684;20,28269043;18,09637975;19,10127166;21,61936243;16,18847741;19,80334448;18,03015105;20,13970676;21,98962177;16,09363208
13,22619569;14,85396724;13,44938683;10,85495159;13,04510148;11,64985732;20,27646743;18,50242787;19,365402;21,67156436;15,81842826;19,81049963;18,14072394;18,9560128;21,85882009;16,04344419
13,23439354;14,86922764;13,4501745;10,8302184;13,04261819;11,64949536;20,20567932;18,36366947;19,16811169;21,68225083;16,25551637;19,4763801;17,35177174;20,14099751;22,0279201;16,27904068
13,21208598;14,76761582;13,45112683;10,80302737;13,03981859;11,64909313;20,02896145;17,69244672;19,15668762;21,49939314;15,87972678;19,15967527;17,53863273;19,62246509;21,68196431;16,47381333
13,11963245;14,8831195;13,1845403;10,51983819;12,96318779;11,46465811;19,88433055;17,97681991;18,85778315;21,51831306;15,69823228;18,21835118;16,81975037;14,33507197;21,2721311;15,29788761
13,19542609;14,90178302;13,39180439;10,75834342;13,03256208;11,59354739;19,94340745;18,01478901;19,17472287;21,67106225;15,83542384;19,12631424;17,28775743;19,32198161;22,03732089;16,77186388
13,23186546;14,93063084;13,46643368;10,81273051;13,04095135;11,62073089;20,18579994;18,43582667;19,32202776;21,94282821;15,97192662;19,55027094;17,51688057;20,17746383;22,22623985;17,35263919
13,24164822;14,93924106;13,47853403;10,84580406;13,04928116;11,62668798;20,32450877;18,41595578;19,36923209;21,91949371;15,96633242;19,43583968;17,96816666;20,05614524;22,31457786;17,31935143
